序号,内容,数量,单位,单价（元/计量单位）,金额,备注
1,节能改造合计（万元）,,,,254.8944,
1.1,原有灯具更换合计,4568,盏,558,254.8944,质保15年产品，实施方可根据具体情况调整数量
1.2,原有设施改造合计,1,项,,0,
2,智慧路灯管理平台合计（万元）,,,,86.22,
2.1,单灯控制,2345,项,120,281400,实施方可根据具体情况调整数量
2.2,集中控制,64,项,"2,500.00",160000,实施方可根据具体情况调整数量
2.3,智慧照明系统平台,1,套,"200,000.00",200000,
2.4,大屏显示,1,套,"40,000.00",40000,
2.5,解码器,1,台,"5,000.00",5000,
2.6,台式电脑,2,台,"4,500.00",9000,
2.7,机柜,1,台,"3,000.00",3000,
2.8,交换机,1,台,"1,800.00",1800,
2.9,本地服务器,1,项,"100,000.00",100000,
2.10 ,100MB专用宽带,1,项,"12,000.00",12000,15年
2.11,监控中心装修,1,项,"50,000.00",50000,
,工程费用合计,,,,341.1144,
3,预备费2%,,,,6.822288,
4,建设期利息,,,,6,
总投资,,,,,353.94 ,
