项目,折旧,残值率,合计,建设期,运营期,,,,,,,,,,,,,,
,年限,,,6个月,第1年,第2年,第3年,第4年,第5年,第6年,第7年,第8年,第9年,第10年,第11年,第12年,第13年,第14年,第15年
固定资产折旧,15,0%,,,,,,,,,,,,,,,,,
固定资产原值,,,611.67,,611.67,570.892,530.114,489.336,448.558,407.78,367.002,326.224,285.446,244.668,203.89,163.112,122.334,81.556,40.778
年折旧额,,,,,40.778,40.778,40.778,40.778,40.778,40.778,40.778,40.778,40.778,40.778,40.778,40.778,40.778,40.778,40.778
固定资产净值,,,,,570.892,530.114,489.336,448.558,407.78,367.002,326.224,285.446,244.668,203.89,163.112,122.334,81.556,40.778,0.0 
后续更新固定资产折旧,0,0%,,,,,,,,,,,,,,,,,
后续更新固定资产原值,,,,,,,,,,,,,,,,,,,
年折旧额,,,,,,,,,,,,,,,,,,,
后续更新固定资产净值,,,,,,,,,,,,,,,,,,,
固定资产综合折旧,,,611.67,,,,,,,,,,,,,,,,
固定资产原值,,,,,611.67,570.892,530.114,489.336,448.558,407.78,367.002,326.224,285.446,244.668,203.89,163.112,122.334,81.556,40.778
年折旧额,,,,,40.778,40.778,40.778,40.778,40.778,40.778,40.778,40.778,40.778,40.778,40.778,40.778,40.778,40.778,40.778
固定资产净值,,,,,,530.114,489.336,448.558,407.78,367.002,326.224,285.446,244.668,203.89,163.112,122.334,81.556,40.778,0.0 
